=== Основной расчет ===
epsilon = 0.19999991  omega = 0.99999961
---------------------------------
   t       U              U'         Flag
  0.4   1.853332e+00  -7.003912e-01   2
  0.8   1.462290e+00  -1.232866e+00   2
  1.2   8.806529e-01  -1.660564e+00   2
  1.6   1.486849e-01  -1.971695e+00   2
  2.0  -6.610684e-01  -2.012288e+00   2
  2.4  -1.396593e+00  -1.579742e+00   2
  2.8  -1.870905e+00  -7.550253e-01   2
  3.2  -1.997647e+00   9.965143e-02   2
  3.6  -1.816160e+00   7.756137e-01   2
  4.0  -1.398565e+00   1.291951e+00   2
  4.4  -7.955512e-01   1.708117e+00   2
  4.8  -4.836460e-02   1.996665e+00   2
  5.2   7.622518e-01   1.986433e+00   2
  5.6   1.474360e+00   1.490767e+00   2
  6.0   1.906339e+00   6.413672e-01   2
  6.4   1.990271e+00  -1.960997e-01   2
  6.8   1.775181e+00  -8.482283e-01   2
  7.2   1.331834e+00  -1.349524e+00   2
  7.6   7.080440e-01  -1.753819e+00   2
  8.0  -5.313433e-02  -2.016915e+00   2
  8.4  -8.619057e-01  -1.952225e+00   2
  8.8  -1.547429e+00  -1.395660e+00   2
  9.2  -1.935984e+00  -5.282600e-01   2
  9.6  -1.978046e+00   2.892811e-01   2
 10.0  -1.730546e+00   9.184066e-01   2
 10.4  -1.262190e+00   1.405655e+00   2
 10.8  -6.182498e-01   1.797458e+00   2
 11.2   1.555419e-01   2.031928e+00   2
 11.6   9.596131e-01   1.909532e+00   2
 12.0   1.615533e+00   1.295252e+00   2


=== Оценка влияния погрешности ===
epsilon = 1.97999912e-01  omega = 9.89999619e-01
---------------------------------
   t       U              U'         Flag
  0.4   1.853332e+00  -7.003912e-01   2
  0.8   1.462290e+00  -1.232866e+00   2
  1.2   8.806526e-01  -1.660564e+00   2
  1.6   1.486846e-01  -1.971695e+00   2
  2.0  -6.610689e-01  -2.012288e+00   2
  2.4  -1.396593e+00  -1.579737e+00   2
  2.8  -1.870902e+00  -7.550216e-01   2
  3.2  -1.997643e+00   9.965266e-02   2
  3.6  -1.816156e+00   7.756138e-01   2
  4.0  -1.398562e+00   1.291950e+00   2
  4.4  -7.955487e-01   1.708115e+00   2
  4.8  -4.836247e-02   1.996662e+00   2
  5.2   7.622527e-01   1.986430e+00   2
  5.6   1.474359e+00   1.490765e+00   2
  6.0   1.906338e+00   6.413661e-01   2
  6.4   1.990270e+00  -1.961001e-01   2
  6.8   1.775180e+00  -8.482283e-01   2
  7.2   1.331832e+00  -1.349523e+00   2
  7.6   7.080427e-01  -1.753818e+00   2
  8.0  -5.313542e-02  -2.016914e+00   2
  8.4  -8.619064e-01  -1.952224e+00   2
  8.8  -1.547429e+00  -1.395658e+00   2
  9.2  -1.935983e+00  -5.282589e-01   2
  9.6  -1.978045e+00   2.892818e-01   2
 10.0  -1.730545e+00   9.184069e-01   2
 10.4  -1.262189e+00   1.405656e+00   2
 10.8  -6.182487e-01   1.797458e+00   2
 11.2   1.555430e-01   2.031927e+00   2
 11.6   9.596139e-01   1.909531e+00   2
 12.0   1.615534e+00   1.295251e+00   2
