p4,p5,x2,p2
6.00,0.0162500,1.60,0.0844972
6.00,0.0853460,1.70,0.0926817
6.00,0.1331481,1.80,0.0987743
6.00,0.1650554,1.90,0.1031108
6.00,0.1850000,2.00,0.1059779
6.00,0.1958844,2.10,0.1076207
6.00,0.1998760,2.20,0.1082482
6.00,0.1986106,2.30,0.1080385
6.00,0.1933333,2.40,0.1071435
6.00,0.1850000,2.50,0.1056923
6.00,0.1743491,2.60,0.1037945
6.00,0.1619547,2.70,0.1015431
6.00,0.1482653,2.80,0.0990169
6.00,0.1336326,2.90,0.0962823
6.00,0.1183333,3.00,0.0933952
6.00,0.1025858,3.10,0.0904028
6.00,0.0865625,3.20,0.0873441
6.00,0.0703994,3.30,0.0842520
6.00,0.0542042,3.40,0.0811535
6.00,0.0380612,3.50,0.0780709
6.00,0.0220370,3.60,0.0750223
6.00,0.0061833,3.70,0.0720224
8.00,0.0412245,1.40,0.0602153
8.00,0.2244444,1.50,0.0738282
8.00,0.3550000,1.60,0.0844972
8.00,0.4471280,1.70,0.0926817
8.00,0.5108642,1.80,0.0987743
8.00,0.5534072,1.90,0.1031108
8.00,0.5800000,2.00,0.1059779
8.00,0.5945125,2.10,0.1076207
8.00,0.5998347,2.20,0.1082482
8.00,0.5981474,2.30,0.1080385
8.00,0.5911111,2.40,0.1071435
8.00,0.5800000,2.50,0.1056923
8.00,0.5657988,2.60,0.1037945
8.00,0.5492730,2.70,0.1015431
8.00,0.5310204,2.80,0.0990169
8.00,0.5115101,2.90,0.0962823
8.00,0.4911111,3.00,0.0933952
8.00,0.4701145,3.10,0.0904028
8.00,0.4487500,3.20,0.0873441
8.00,0.4271993,3.30,0.0842520
8.00,0.4056055,3.40,0.0811535
8.00,0.3840816,3.50,0.0780709
8.00,0.3627160,3.60,0.0750223
8.00,0.3415778,3.70,0.0720224
8.00,0.3207202,3.80,0.0690830
8.00,0.3001841,3.90,0.0662133
8.00,0.2800000,4.00,0.0634204
8.00,0.2601904,4.10,0.0607096
8.00,0.2407710,4.20,0.0580846
8.00,0.2217523,4.30,0.0555480
8.00,0.2031405,4.40,0.0531012
8.00,0.1849383,4.50,0.0507447
8.00,0.1671456,4.60,0.0484786
8.00,0.1497601,4.70,0.0463019
8.00,0.1327778,4.80,0.0442134
8.00,0.1161933,4.90,0.0422116
8.00,0.1000000,5.00,0.0402944
8.00,0.0841907,5.10,0.0384598
8.00,0.0687574,5.20,0.0367053
8.00,0.0536917,5.30,0.0350284
8.00,0.0389849,5.40,0.0334267
8.00,0.0246281,5.50,0.0318973
8.00,0.0106122,5.60,0.0304377
10.00,0.3015306,1.40,0.0602153
10.00,0.5305556,1.50,0.0738282
10.00,0.6937500,1.60,0.0844972
10.00,0.8089100,1.70,0.0926817
10.00,0.8885802,1.80,0.0987743
10.00,0.9417590,1.90,0.1031108
10.00,0.9750000,2.00,0.1059779
10.00,0.9931406,2.10,0.1076207
10.00,0.9997934,2.20,0.1082482
10.00,0.9976843,2.30,0.1080385
10.00,0.9888889,2.40,0.1071435
10.00,0.9750000,2.50,0.1056923
10.00,0.9572485,2.60,0.1037945
10.00,0.9365912,2.70,0.1015431
10.00,0.9137755,2.80,0.0990169
10.00,0.8893876,2.90,0.0962823
10.00,0.8638889,3.00,0.0933952
10.00,0.8376431,3.10,0.0904028
10.00,0.8109375,3.20,0.0873441
10.00,0.7839991,3.30,0.0842520
10.00,0.7570069,3.40,0.0811535
10.00,0.7301020,3.50,0.0780709
10.00,0.7033951,3.60,0.0750223
10.00,0.6769722,3.70,0.0720224
10.00,0.6509003,3.80,0.0690830
10.00,0.6252301,3.90,0.0662133
10.00,0.6000000,4.00,0.0634204
10.00,0.5752380,4.10,0.0607096
10.00,0.5509637,4.20,0.0580846
10.00,0.5271904,4.30,0.0555480
10.00,0.5039256,4.40,0.0531012
10.00,0.4811728,4.50,0.0507447
10.00,0.4589319,4.60,0.0484786
10.00,0.4372001,4.70,0.0463019
10.00,0.4159722,4.80,0.0442134
10.00,0.3952416,4.90,0.0422116
10.00,0.3750000,5.00,0.0402944
10.00,0.3552384,5.10,0.0384598
10.00,0.3359467,5.20,0.0367053
10.00,0.3171146,5.30,0.0350284
10.00,0.2987311,5.40,0.0334267
10.00,0.2807851,5.50,0.0318973
10.00,0.2632653,5.60,0.0304377
10.00,0.2461604,5.70,0.0290452
10.00,0.2294590,5.80,0.0277172
10.00,0.2131500,5.90,0.0264509
10.00,0.1972222,6.00,0.0252438
10.00,0.1816649,6.10,0.0240934
10.00,0.1664672,6.20,0.0229971
10.00,0.1516188,6.30,0.0219527
10.00,0.1371094,6.40,0.0209577
10.00,0.1229290,6.50,0.0200100
10.00,0.1090680,6.60,0.0191072
10.00,0.0955168,6.70,0.0182474
10.00,0.0822664,6.80,0.0174285
10.00,0.0693079,6.90,0.0166486
10.00,0.0566327,7.00,0.0159058
10.00,0.0442323,7.10,0.0151983
10.00,0.0320988,7.20,0.0145245
10.00,0.0202242,7.30,0.0138828
10.00,0.0086012,7.40,0.0132714
12.00,0.1771006,1.30,0.0431216
12.00,0.5618367,1.40,0.0602153
12.00,0.8366667,1.50,0.0738282
12.00,1.0325000,1.60,0.0844972
12.00,1.1706920,1.70,0.0926817
12.00,1.2662963,1.80,0.0987743
12.00,1.3301108,1.90,0.1031108
12.00,1.3700000,2.00,0.1059779
12.00,1.3917687,2.10,0.1076207
12.00,1.3997521,2.20,0.1082482
12.00,1.3972212,2.30,0.1080385
12.00,1.3866667,2.40,0.1071435
12.00,1.3700000,2.50,0.1056923
12.00,1.3486982,2.60,0.1037945
12.00,1.3239095,2.70,0.1015431
12.00,1.2965306,2.80,0.0990169
12.00,1.2672652,2.90,0.0962823
12.00,1.2366667,3.00,0.0933952
12.00,1.2051717,3.10,0.0904028
12.00,1.1731250,3.20,0.0873441
12.00,1.1407989,3.30,0.0842520
12.00,1.1084083,3.40,0.0811535
12.00,1.0761224,3.50,0.0780709
12.00,1.0440741,3.60,0.0750223
12.00,1.0123667,3.70,0.0720224
12.00,0.9810803,3.80,0.0690830
12.00,0.9502761,3.90,0.0662133
12.00,0.9200000,4.00,0.0634204
12.00,0.8902855,4.10,0.0607096
12.00,0.8611565,4.20,0.0580846
12.00,0.8326284,4.30,0.0555480
12.00,0.8047107,4.40,0.0531012
12.00,0.7774074,4.50,0.0507447
12.00,0.7507183,4.60,0.0484786
12.00,0.7246401,4.70,0.0463019
12.00,0.6991667,4.80,0.0442134
12.00,0.6742899,4.90,0.0422116
12.00,0.6500000,5.00,0.0402944
12.00,0.6262860,5.10,0.0384598
12.00,0.6031361,5.20,0.0367053
12.00,0.5805376,5.30,0.0350284
12.00,0.5584774,5.40,0.0334267
12.00,0.5369421,5.50,0.0318973
12.00,0.5159184,5.60,0.0304377
12.00,0.4953924,5.70,0.0290452
12.00,0.4753508,5.80,0.0277172
12.00,0.4557799,5.90,0.0264509
12.00,0.4366667,6.00,0.0252438
12.00,0.4179979,6.10,0.0240934
12.00,0.3997607,6.20,0.0229971
12.00,0.3819426,6.30,0.0219527
12.00,0.3645313,6.40,0.0209577
12.00,0.3475148,6.50,0.0200100
12.00,0.3308815,6.60,0.0191072
12.00,0.3146202,6.70,0.0182474
12.00,0.2987197,6.80,0.0174285
12.00,0.2831695,6.90,0.0166486
12.00,0.2679592,7.00,0.0159058
12.00,0.2530788,7.10,0.0151983
12.00,0.2385185,7.20,0.0145245
12.00,0.2242691,7.30,0.0138828
12.00,0.2103214,7.40,0.0132714
12.00,0.1966667,7.50,0.0126891
12.00,0.1832964,7.60,0.0121343
12.00,0.1702024,7.70,0.0116057
12.00,0.1573767,7.80,0.0111021
12.00,0.1448117,7.90,0.0106222
12.00,0.1325000,8.00,0.0101648
12.00,0.1204344,8.10,0.0097288
12.00,0.1086080,8.20,0.0093133
12.00,0.0970141,8.30,0.0089171
12.00,0.0856463,8.40,0.0085393
12.00,0.0744983,8.50,0.0081791
12.00,0.0635641,8.60,0.0078355
12.00,0.0528379,8.70,0.0075078
12.00,0.0423140,8.80,0.0071951
12.00,0.0319871,8.90,0.0068967
12.00,0.0218519,9.00,0.0066120
12.00,0.0119032,9.10,0.0063403
12.00,0.0021361,9.20,0.0060809
